ALBUM           |  GNX
ALBUMARTIST     |  Kendrick Lamar
ALBUMSORT       |  GNX
ARTIST          |  Kendrick Lamar, SZA
ARTISTSORT      |  Kendrick Lamar, SZA
ARTISTS         |  Kendrick Lamar
ARTISTS         |  SZA
COMPILATION     |  0
COPYRIGTH       |  ℗ 2024 pgLang, under exclusive license to Interscope Records
DISCNUMBER      |  1
GENRE           |  Hip-Hop/Rap
ITUNESADVISORY  |  0
ITUNESALBUMID   |  1781270319
ITUNESARTISTID  |  368183298
ITUNESCATALOGID |  1781270323
ITUNESGENREID   |  18
ITUNESGAPLESS   |  0
ITUNESMEDIATYPE |  Normal
TITLE           |  luther
TITLESORT       |  luther
TOTALDISCS      |  1
TOTALTRACKS     |  12
TRACK           |  3
YEAR            |  2024-11-22T12:00:00Z
